Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target
2012-02-21,15.21659763,15.45585823,15.13374181,15.45585823,605595200,0.02503660,0.03393848,0.02408115,0.01577448,0.77854089,84.39594061,0.63519318,0.56678486,0.06840833,20.22172233,0.95157048,0.04834725,0
2012-02-22,15.40271965,15.47506778,15.28233825,15.40151882,483302400,-0.00352198,0.02133541,0.00700219,0.01637765,0.70159239,82.91062769,0.64064367,0.58155662,0.05908705,19.99615310,0.31020136,0.04743812,1
2012-02-23,15.46275679,15.54531277,15.29524476,15.50208282,568027600,0.00650826,0.02802289,0.03692477,0.01616736,0.69113420,84.55706445,0.64563542,0.59437238,0.05126304,20.15768057,0.83299747,0.04810106,1
2012-02-24,15.60055048,15.69751485,15.56963026,15.68280506,415072000,0.01159050,0.01457679,0.03943417,0.01349380,0.73205892,84.80727990,0.65660525,0.60681895,0.04978630,19.84396256,-0.15950482,0.04572683,1
2012-02-27,15.64978707,15.86563225,15.49878683,15.78337765,547582000,0.00639245,0.02449121,0.04600584,0.01336701,0.72387826,84.64713290,0.66574005,0.61860317,0.04713688,20.12102278,0.63767675,0.04394940,1
2012-02-28,15.84942264,16.07307243,15.78607994,16.07307243,600387200,0.01818801,0.03617096,0.03915725,0.01334255,0.81679078,85.42982925,0.68841972,0.63256648,0.05585324,20.21308534,0.83804367,0.04188145,1
2012-02-29,16.25769813,16.43932042,16.08178019,16.28411484,952011200,0.01304473,0.03762519,0.05572395,0.01331264,0.84680790,85.30156611,0.71517874,0.64908893,0.06608981,20.67408736,2.40455828,0.03950991,1
2012-03-01,16.45613113,16.45733357,16.17394192,16.34505653,683270000,0.00373542,0.03496816,0.05295111,0.00847513,0.79890121,82.60032737,0.73285505,0.66584216,0.06701289,20.34240065,0.93190571,0.03969240,1
2012-03-02,16.33815049,16.41500055,16.28651470,16.36636925,431712400,0.00130307,0.01808322,0.04266368,0.00881566,0.74836724,82.70137804,0.74005255,0.68068423,0.05936831,19.88327018,-0.98831087,0.03893280,0
2012-03-05,16.37356791,16.43540834,15.79057609,16.00552177,809124400,-0.02229480,-0.01725631,0.01397643,0.01295585,0.47904299,68.63849332,0.70847241,0.68624187,0.02223054,20.51146323,1.62094038,0.03753513,0
2012-03-06,15.72033219,16.02143320,15.49698225,15.91846466,810238800,-0.00545404,-0.02644576,-0.00966562,0.01148145,0.38561225,63.32972171,0.66871165,0.68273582,-0.01402418,20.51283958,1.21304276,0.03383893,1
2012-03-07,16.11480206,16.14422165,15.70952994,15.93137932,798520800,0.00081097,-0.02693787,-0.02189938,0.01129028,0.36498189,74.76734300,0.63096964,0.67238259,-0.04141295,20.49827157,1.02009676,0.03106554,1
2012-03-08,16.05145345,16.30062047,15.97430200,16.27060127,516457200,0.02106917,0.01642610,-0.00456562,0.01260106,0.62589463,77.09052219,0.62126959,0.66215999,-0.04089040,20.06250298,-0.63089416,0.02951326,1
2012-03-09,16.33724220,16.44321360,16.30422013,16.36606216,418919200,0.00584993,0.02773008,-0.00001876,0.01238825,0.65359751,78.13335869,0.61420496,0.65256898,-0.03836402,19.85318862,-1.55590876,0.02874620,1
2012-03-12,16.48044582,16.57110786,16.42100543,16.57110786,407282400,0.01245088,0.03936998,0.03472692,0.01264927,0.77520979,76.30631312,0.61802742,0.64566067,-0.02763325,19.82501736,-1.36925921,0.02800539,1
2012-03-13,16.73741830,17.05683167,16.68368066,17.05443001,690855200,0.02874931,0.04705012,0.06893026,0.01422723,1.05057970,82.42629541,0.65253480,0.64703550,0.00549930,20.35344081,0.62255991,0.02782053,1
2012-03-14,17.35313300,17.85356748,17.27357825,17.69926453,1418844000,0.03711309,0.07831328,0.10523238,0.01727469,1.25819462,85.51872266,0.72357399,0.66234320,0.06123079,21.07310829,2.97674054,0.02894052,0
2012-03-15,18.00036316,18.01237149,17.36814022,17.57858086,1159718000,-0.00684192,0.05902048,0.07732129,0.01790001,1.01209084,81.25297733,0.76135843,0.68214624,0.07921219,20.87144271,2.27520614,0.02817206,1
2012-03-16,17.55336684,17.68785687,17.35163179,17.57888412,825487600,0.00001725,0.03028842,0.07148861,0.01795222,0.89341516,80.61201096,0.78230936,0.70217887,0.08013050,20.53148480,1.09259398,0.02771674,1
2012-03-19,17.96313684,18.06520436,17.68334937,18.04509163,901236000,0.02617530,0.01935063,0.08521303,0.01549503,1.03906997,81.71269003,0.82699905,0.72714290,0.09985615,20.61927771,1.40447831,0.03084376,1
2012-03-20,17.99735610,18.21920378,17.75629512,18.19098663,816662000,0.00805252,0.03424507,0.06451624,0.01435163,0.96832938,81.32131297,0.86422620,0.75455956,0.10966663,20.52073586,0.69368155,0.03606245,0
2012-03-21,18.09431932,18.30175861,18.05439367,18.08711433,644042000,-0.00572646,0.02850135,0.02167668,0.01511461,0.80707869,78.21622450,0.87525792,0.77869923,0.09655869,20.28327450,-0.30995121,0.04064951,0
2012-03-22,17.94541991,18.14715645,17.87787512,17.99225235,623870800,-0.00525853,-0.00293248,0.02326008,0.01577176,0.68033892,75.72169916,0.86635923,0.79623123,0.07012799,20.25145385,-0.47004046,0.04318628,0
2012-03-23,18.02677707,18.06610311,17.84395401,17.89348793,430488800,-0.00550440,-0.01648939,0.01773843,0.01650026,0.56673868,82.56860268,0.84163563,0.80531211,0.03632352,19.88043187,-2.27786662,0.04540113,1
2012-03-26,18.00576207,18.22671195,17.86977306,18.22160721,595742000,0.01817126,0.00740833,0.00973438,0.01673367,0.68006006,86.67999995,0.83884876,0.81201944,0.02682932,20.20531825,-0.80028513,0.04761003,1
2012-03-27,18.19759690,18.50079984,18.19399441,18.44676399,607129600,0.01228086,0.02494772,0.01396273,0.01538414,0.72026739,87.52345952,0.84506701,0.81862895,0.02643805,20.22425284,-0.69402422,0.04847911,1
2012-03-28,18.56384128,18.65600396,18.32157938,18.54102707,655460400,0.00509699,0.03554911,0.02478619,0.01144386,0.68898764,86.53973072,0.84782802,0.82446877,0.02335925,20.30084845,-0.10645504,0.04650058,0
2012-03-29,18.39573221,18.50920847,18.22912111,18.30807304,608238400,-0.01264384,0.00473401,0.01740087,0.01221230,0.51022313,79.92973293,0.82174613,0.82392424,-0.00217811,20.22607747,-0.29361949,0.04478531,0
2012-03-30,18.27534065,18.32907668,17.95022306,17.99855614,731038000,-0.01705057,-0.02459742,0.00585470,0.01391502,0.30765625,71.31311969,0.76725616,0.81259062,-0.04533447,20.40997600,0.44772074,0.04230196,1
2012-04-02,18.06700612,18.57554649,18.02347636,18.57134438,598351600,0.03132823,0.00163381,0.01901167,0.01495175,0.56996765,72.05958223,0.76151344,0.80237519,-0.04086175,20.20968910,-0.38582974,0.03768478,1
2012-04-03,18.83162598,18.97902699,18.68783068,18.89226723,834559600,0.01713293,0.03141058,0.02386374,0.01556433,0.70070835,69.15356796,0.77393662,0.79668747,-0.02275085,20.54241472,1.15135514,0.03293288,0
2012-04-04,18.74306027,18.78839048,18.52241176,18.74185944,572980800,-0.00799320,0.04046795,0.01077354,0.01573379,0.58515701,68.49978069,0.76285175,0.78992033,-0.02706858,20.16636277,-0.58134821,0.02846978,1
2012-04-05,18.82200844,19.05256335,18.71453639,19.02314377,641298000,0.01489684,0.02403656,0.03831422,0.01577010,0.73191829,71.08399315,0.76791219,0.78551870,-0.01760651,20.27900481,-0.01752653,0.02633214,1
2012-04-09,18.79649799,19.20807404,18.77158192,19.09970093,597536800,0.00401635,0.01091998,0.05938114,0.01530775,0.76501331,67.37203917,0.76923291,0.78226154,-0.01302863,20.20832643,-0.76404905,0.02524757,0
2012-04-10,19.21077344,19.33295531,18.79259366,18.86584282,889725200,-0.01231965,0.00659353,0.01573326,0.01575991,0.57781594,60.80348184,0.74284613,0.77437846,-0.03153233,20.60642321,3.07207256,0.02233060,0
2012-04-11,19.09879120,19.11890393,18.71273105,18.79858971,696614800,-0.00357118,-0.01187448,-0.00497085,0.01557182,0.49415438,61.52482445,0.70834232,0.76117123,-0.05282891,20.36174316,0.68095820,0.01938589,0
2012-04-12,18.76257623,18.95260435,18.62748499,18.69563103,614336800,-0.00549199,-0.02138282,-0.00246963,0.01568905,0.34626360,61.36386188,0.66502392,0.74194177,-0.07691785,20.23605387,-0.57645270,0.01746388,0
2012-04-13,18.73585301,18.75356568,18.11743893,18.16907310,859644800,-0.02856899,-0.03763216,-0.04593546,0.01786593,-0.28374269,53.91167476,0.58150176,0.70985377,-0.12835201,20.57202984,3.71923084,0.01507687,0
2012-04-16,18.31407064,18.32067441,17.35913180,17.41556931,1050786800,-0.04235627,-0.07641726,-0.09230808,0.02179053,-1.12044381,39.79177537,0.44932881,0.65774878,-0.20841997,20.77280505,6.28627987,0.01235893,1
2012-04-17,17.37985077,18.31227387,17.16880889,18.30326843,1025528000,0.04971505,-0.02121021,-0.03027338,0.02549695,-0.12677684,48.44382629,0.41146754,0.60849253,-0.19702499,20.74847344,5.97518346,0.01019327,0
2012-04-18,18.42395343,18.61998575,18.09343106,18.26244545,954531200,-0.00223286,0.00512592,-0.02893506,0.02464972,-0.17883735,46.94342308,0.37385854,0.56156573,-0.18770719,20.67673089,5.05790567,0.00657738,0
2012-04-19,18.01867056,18.15406155,17.54735445,17.63501358,834719200,-0.03496046,0.01252174,-0.05840353,0.02660666,-0.82568862,43.20356542,0.29008075,0.50726874,-0.21718798,20.54260594,2.46928647,0.00179691,0
2012-04-20,17.75329183,17.85055761,17.12407038,17.20092201,1030985200,-0.02492335,-0.06211666,-0.05475788,0.02609199,-1.09787875,42.14329677,0.18650874,0.44311674,-0.25660800,20.75378069,2.90456852,-0.00597158,0
2012-04-23,17.12977971,17.31170178,16.70979787,17.16250038,966529200,-0.00223619,-0.06212000,-0.01463780,0.02579011,-0.99341014,34.49014697,0.10017214,0.37452782,-0.27435568,20.68922207,1.71534844,-0.01456378,0
2012-04-24,16.88961236,17.04211478,16.66115932,16.81966591,1076149200,-0.02017800,-0.04733754,-0.08453086,0.02596426,-1.06371764,27.29244647,0.00403933,0.30043012,-0.29639079,20.79665495,1.41430750,-0.02199170,1
2012-04-25,18.48158140,18.55242889,18.19218731,18.31226730,905777600,0.08502239,0.06260819,0.00272439,0.04018380,0.05332502,46.36301100,0.04774348,0.24989279,-0.20214931,20.62430436,0.39207799,-0.02429726,0
2012-04-26,18.44045272,18.45306225,18.07600905,18.24322128,536068400,-0.00377761,0.06106678,0.03390724,0.04017385,0.01296755,43.15092998,0.07593260,0.21510075,-0.13916816,20.09977232,-2.12225547,-0.02598236,0
2012-04-27,18.16428010,18.19760200,18.02708698,18.10213661,406722400,-0.00776360,0.07348118,0.05106699,0.03919775,-0.08518465,41.33782851,0.08589814,0.18926023,-0.10336209,19.82364145,-3.44588312,-0.02579924,0
2012-04-30,17.94602764,17.96404012,17.50172932,17.53114891,506144800,-0.03205074,-0.04359194,0.02125244,0.03809105,-0.48448454,39.05144116,0.04717813,0.16084381,-0.11366568,20.04233335,-2.26547340,-0.02391243,0
2012-05-01,17.55876827,17.91480622,17.44859472,17.47561264,610999200,-0.00317289,-0.04298723,0.03825755,0.03397236,-0.47675429,39.12665341,0.01187405,0.13104986,-0.11917581,20.23060621,-1.41272094,-0.02552726,1
2012-05-02,17.41886924,17.63381335,17.37744134,17.59118462,427389200,0.00659156,-0.02863207,-0.04017328,0.03415558,-0.35358930,40.94150481,-0.00670174,0.10349954,-0.11020128,19.87320563,-2.40787760,-0.02573380,0
2012-05-03,17.72688056,17.75389848,17.42067476,17.46630478,390549600,-0.00712432,-0.00370565,-0.04351999,0.03241906,-0.40220375,43.82942592,-0.03114097,0.07657144,-0.10771241,19.78306554,-2.78276183,-0.02322025,0
2012-05-04,17.32400475,17.36242976,16.96646468,16.96886635,529992400,-0.02889331,-0.02942607,-0.06464970,0.03276753,-0.70141140,45.89310258,-0.08961533,0.04333408,-0.13294942,20.08837322,-1.34704560,-0.01891312,1
2012-05-07,16.85629532,17.19462215,16.84818930,17.09585571,460118400,0.00745580,-0.02856182,-0.02514316,0.03288181,-0.56463006,37.09405411,-0.12427711,0.00981184,-0.13408896,19.94699441,-1.68983408,-0.01376687,0
