Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target,target_z
2012-02-21,15.21660138,15.45586205,15.13374554,15.45586205,605595200,0.02503647,0.03393880,0.02408140,0.01577442,0.77854218,84.39603305,0.63519443,0.56678544,0.06840899,20.22172233,0.95157048,0.04834737,0,0
2012-02-22,15.40272251,15.47507065,15.28234109,15.40152168,483302400,-0.00352204,0.02133509,0.00700262,0.01637760,0.70159269,82.91059775,0.64064494,0.58155734,0.05908760,19.99615310,0.31020136,0.04743827,1,0
2012-02-23,15.46276249,15.54531851,15.29525040,15.50208855,568027600,0.00650845,0.02802288,0.03692520,0.01616728,0.69113580,84.55710843,0.64563691,0.59437325,0.05126366,20.15768057,0.83299747,0.04810120,1,1
2012-02-24,15.60055333,15.69751771,15.56963310,15.68280792,415072000,0.01159032,0.01457672,0.03943385,0.01349376,0.73205836,84.80730101,0.65660668,0.60681994,0.04978674,19.84396256,-0.15950482,0.04572695,1,1
2012-02-27,15.64978991,15.86563512,15.49878964,15.78338051,547582000,0.00639244,0.02449121,0.04600564,0.01336696,0.72387756,84.64718731,0.66574141,0.61860423,0.04713718,20.12102278,0.63767675,0.04394954,1,1
2012-02-28,15.84942452,16.07307434,15.78608181,16.07307434,600387200,0.01818795,0.03617071,0.03915712,0.01334247,0.81678937,85.42984866,0.68842093,0.63256757,0.05585336,20.21308534,0.83804367,0.04188158,1,1
2012-02-29,16.25770003,16.43932235,16.08178207,16.28411674,952011200,0.01304473,0.03762512,0.05572388,0.01331258,0.84680659,85.30155077,0.71517983,0.64909002,0.06608981,20.67408736,2.40455828,0.03951006,1,0
2012-03-01,16.45612153,16.45732397,16.17393248,16.34504700,683270000,0.00373472,0.03496740,0.05295016,0.00847515,0.79889415,82.60024979,0.73285512,0.66584304,0.06701207,20.34240065,0.93190571,0.03969253,1,0
2012-03-02,16.33815049,16.41500055,16.28651470,16.36636925,431712400,0.00130366,0.01808310,0.04266350,0.00881562,0.74836640,82.70139165,0.74005257,0.68068495,0.05936762,19.88327018,-0.98831087,0.03893287,0,0
2012-03-05,16.37357376,16.43541422,15.79058173,16.00552750,809124400,-0.02229444,-0.01725607,0.01397661,0.01295573,0.47904590,68.63865275,0.70847285,0.68624253,0.02223032,20.51146323,1.62094038,0.03753518,0,0
2012-03-06,15.72033502,16.02143608,15.49698503,15.91846752,810238800,-0.00545422,-0.02644500,-0.00966556,0.01148135,0.38561345,63.32985852,0.66871219,0.68273646,-0.01402427,20.51283958,1.21304276,0.03383894,1,0
2012-03-07,16.11479241,16.14421199,15.70952054,15.93136978,798520800,0.00081019,-0.02693847,-0.02190009,0.01129019,0.36497346,74.76723434,0.63096926,0.67238302,-0.04141376,20.49827157,1.02009676,0.03106549,1,1
2012-03-08,16.05145721,16.30062429,15.97430574,16.27060509,516457200,0.02107000,0.01642598,-0.00456480,0.01260111,0.62589806,77.09048220,0.62126957,0.66216033,-0.04089076,20.06250298,-0.63089416,0.02951320,1,1
2012-03-09,16.33724982,16.44322127,16.30422773,16.36606979,418919200,0.00585017,0.02773036,-0.00001830,0.01238831,0.65360384,78.13342328,0.61420551,0.65256937,-0.03836386,19.85318862,-1.55590876,0.02874615,1,1
2012-03-12,16.48044203,16.57110405,16.42100165,16.57110405,407282400,0.01245018,0.03937035,0.03472633,0.01264929,0.77520643,76.30627484,0.61802751,0.64566099,-0.02763348,19.82501736,-1.36925921,0.02800531,1,1
2012-03-13,16.73741830,17.05683167,16.68368066,17.05443001,690855200,0.02874954,0.04704988,0.06893008,0.01422730,1.05058087,82.42634841,0.65253482,0.64703576,0.00549906,20.35344081,0.62255991,0.02782044,1,1
2012-03-14,17.35312552,17.85355979,17.27357081,17.69925690,1418844000,0.03711266,0.07831238,0.10523255,0.01727467,1.25819283,85.51872576,0.72357336,0.66234328,0.06123008,21.07310829,2.97674054,0.02894037,0,0
2012-03-15,18.00035926,18.01236758,17.36813645,17.57857704,1159718000,-0.00684171,0.05902049,0.07732084,0.01789995,1.01209184,81.25307347,0.76135759,0.68214614,0.07921145,20.87144271,2.27520614,0.02817197,0,0
2012-03-16,17.55336874,17.68785879,17.35163367,17.57888603,825487600,0.00001758,0.03028853,0.07148825,0.01795217,0.89341878,80.61214381,0.78230884,0.70217868,0.08013015,20.53148480,1.09259398,0.02771668,1,1
2012-03-19,17.96313115,18.06519864,17.68334377,18.04508591,901236000,0.02617487,0.01935074,0.08521294,0.01549501,1.03906953,81.71278118,0.82699816,0.72714258,0.09985558,20.61927771,1.40447831,0.03084366,1,1
2012-03-20,17.99735799,18.21920569,17.75629698,18.19098854,816662000,0.00805294,0.03424539,0.06451634,0.01435156,0.96833260,81.32145019,0.86422564,0.75455919,0.10966645,20.52073586,0.69368155,0.03606235,0,0
2012-03-21,18.09432123,18.30176054,18.05439558,18.08711624,644042000,-0.00572646,0.02850135,0.02167722,0.01511448,0.80708112,78.21642709,0.87525763,0.77869888,0.09655876,20.28327450,-0.30995121,0.04064949,0,0
2012-03-22,17.94542942,18.14716607,17.87788460,17.99226189,623870800,-0.00525810,-0.00293163,0.02326082,0.01577154,0.68034448,75.72200519,0.86635976,0.79623105,0.07012871,20.25145385,-0.47004046,0.04318627,0,0
2012-03-23,18.02677707,18.06610311,17.84395401,17.89348793,430488800,-0.00550493,-0.01648949,0.01773832,0.01650011,0.56673876,82.56854659,0.84163604,0.80531205,0.03632399,19.88043187,-2.27786662,0.04540109,1,1
2012-03-26,18.00576018,18.22671004,17.86977119,18.22160530,595742000,0.01817115,0.00740812,0.00973460,0.01673353,0.68005917,86.68002419,0.83884892,0.81201942,0.02682949,20.20531825,-0.80028513,0.04761001,1,1
2012-03-27,18.19759314,18.50079602,18.19399064,18.44676018,607129600,0.01228076,0.02494698,0.01396242,0.01538395,0.72026575,87.52352345,0.84506681,0.81862890,0.02643791,20.22425284,-0.69402422,0.04847910,1,0
2012-03-28,18.56383555,18.65599820,18.32157372,18.54102135,655460400,0.00509689,0.03554880,0.02478577,0.01144374,0.68898540,86.53973417,0.84782740,0.82446860,0.02335880,20.30084845,-0.10645504,0.04650060,0,0
2012-03-29,18.39572646,18.50920269,18.22911542,18.30806732,608238400,-0.01264385,0.00473381,0.01740003,0.01221220,0.51022110,79.92968537,0.82174518,0.82392392,-0.00217874,20.22607747,-0.29361949,0.04478530,0,0
2012-03-30,18.27534065,18.32907668,17.95022306,17.99855614,731038000,-0.01705026,-0.02459721,0.00585470,0.01391490,0.30765702,71.31324945,0.76725542,0.81259022,-0.04533480,20.40997600,0.44772074,0.04230195,1,1
2012-04-02,18.06701169,18.57555221,18.02348191,18.57135010,598351600,0.03132854,0.00163443,0.01901208,0.01495177,0.56997145,72.05972658,0.76151333,0.80237484,-0.04086151,20.20968910,-0.38582974,0.03768483,1,1
2012-04-03,18.83161837,18.97901932,18.68782313,18.89225960,834559600,0.01713222,0.03141049,0.02386354,0.01556427,0.70070490,69.15366174,0.77393595,0.79668706,-0.02275112,20.54241472,1.15135514,0.03293290,0,0
2012-04-04,18.74305645,18.78838666,18.52240799,18.74185562,572980800,-0.00799300,0.04046775,0.01077364,0.01573371,0.58515646,68.49987044,0.76285094,0.78991984,-0.02706890,20.16636277,-0.58134821,0.02846975,1,1
2012-04-05,18.82201222,19.05256717,18.71454015,19.02314758,641298000,0.01489724,0.02403646,0.03831473,0.01577009,0.73192263,71.08410314,0.76791190,0.78551825,-0.01760635,20.27900481,-0.01752653,0.02633209,1,0
2012-04-09,18.79649611,19.20807212,18.77158005,19.09969902,597536800,0.00401605,0.01092028,0.05938104,0.01530769,0.76501280,67.37216743,0.76923257,0.78226111,-0.01302855,20.20832643,-0.76404905,0.02524753,0,0
2012-04-10,19.21077344,19.33295531,18.79259366,18.86584282,889725200,-0.01231955,0.00659374,0.01573295,0.01575986,0.57781728,60.80352389,0.74284590,0.77437807,-0.03153217,20.60642321,3.07207256,0.02233056,0,0
2012-04-11,19.09880089,19.11891363,18.71274054,18.79859924,696614800,-0.00357067,-0.01187417,-0.00496993,0.01557175,0.49416467,61.52506192,0.70834295,0.76117105,-0.05282810,20.36174316,0.68095820,0.01938589,0,0
2012-04-12,18.76257240,18.95260048,18.62748119,18.69562721,614336800,-0.00549270,-0.02138292,-0.00246963,0.01568902,0.34626012,61.36368104,0.66502414,0.74194166,-0.07691752,20.23605387,-0.57645270,0.01746389,0,0
2012-04-13,18.73585497,18.75356765,18.11744083,18.16907501,859644800,-0.02856868,-0.03763206,-0.04593556,0.01786585,-0.28374064,53.91172933,0.58150212,0.70985376,-0.12835164,20.57202984,3.71923084,0.01507690,0,0
