Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target
2012-02-21,15.21659293,15.45585346,15.13373714,15.45585346,605595200,0.02503655,0.03393798,0.02408021,0.01577448,0.77853800,84.39604018,0.63519287,0.56678501,0.06840786,20.22172233,0.95157048,0.04834728,0
2012-02-22,15.40272347,15.47507161,15.28234203,15.40152264,483302400,-0.00352142,0.02133553,0.00700275,0.01637760,0.70159460,82.91099177,0.64064373,0.58155675,0.05908698,19.99615310,0.31020136,0.04743818,1
2012-02-23,15.46276154,15.54531755,15.29524946,15.50208759,568027600,0.00650832,0.02802345,0.03692489,0.01616729,0.69113659,84.55734796,0.64563584,0.59437257,0.05126327,20.15768057,0.83299747,0.04810111,1
2012-02-24,15.60054953,15.69751390,15.56962932,15.68280411,415072000,0.01159013,0.01457704,0.03943399,0.01349368,0.73205759,84.80754986,0.65660550,0.60681916,0.04978634,19.84396256,-0.15950482,0.04572685,1
2012-02-27,15.64978707,15.86563225,15.49878683,15.78337765,547582000,0.00639251,0.02449096,0.04600609,0.01336686,0.72387760,84.64745369,0.66574023,0.61860337,0.04713686,20.12102278,0.63767675,0.04394944,1
2012-02-28,15.84942640,16.07307625,15.78608368,16.07307625,600387200,0.01818825,0.03617089,0.03915779,0.01334234,0.81679211,85.43012234,0.68842016,0.63256673,0.05585343,20.21308534,0.83804367,0.04188144,1
2012-02-29,16.25769241,16.43931465,16.08177454,16.28410912,952011200,0.01304414,0.03762490,0.05572335,0.01331245,0.84680400,85.30178588,0.71517861,0.64908911,0.06608951,20.67408736,2.40455828,0.03950991,1
2012-03-01,16.45613497,16.45733741,16.17394569,16.34506035,683270000,0.00373600,0.03496839,0.05295103,0.00847501,0.79890289,82.60060992,0.73285524,0.66584233,0.06701291,20.34240065,0.93190571,0.03969240,1
2012-03-02,16.33814287,16.41499290,16.28650711,16.36636162,431712400,0.00130238,0.01808252,0.04266328,0.00881561,0.74836230,82.70163212,0.74005207,0.68068428,0.05936779,19.88327018,-0.98831087,0.03893277,0
2012-03-05,16.37357766,16.43541814,15.79058549,16.00553131,809124400,-0.02229374,-0.01725536,0.01397703,0.01295553,0.47904900,68.63891224,0.70847278,0.68624198,0.02223080,20.51146323,1.62094038,0.03753515,0
